ID,Sample,Country,Countrycode,Location,Date,Season,lat,long,substrate,Tempyear,Precyear,tempmonth,precmonth,AF-PC1,AF-PC2,AF-PC3
AT_Mau_14_01,S1,Austria,AT,Mauternbach,20-Jul-14,S,48.375,15.56,BananaandYeast,85,701,182,94,-0.049,0.009,0.078
AT_Mau_14_02,S2,Austria,AT,Mauternbach,19-Oct-14,A,48.375,15.56,BananaandYeast,85,701,87,42,-0.043,-0.011,0.081
TR_Yes_14_03,S3,Turkey,TR,Yesiloz,31-Aug-14,S,40.231444,32.260328,BananaandYeast,104,506,205,16,0.038,-0.087,0.181
TR_Yes_14_04,S4,Turkey,TR,Yesiloz,29-Jul-14,S,40.231444,32.260328,BananaandYeast,104,506,206,21,0.057,-0.089,0.138
FR_Vil_14_05,S5,France,FR,Viltain,18-Aug-14,S,48.7543324,2.1584108,BananaandYeast,105,652,179,52,0.159,0.251,-0.084
FR_Vil_14_06,S6,France,FR,Viltain,18-Sep-14,A,48.7543324,2.1584108,BananaandYeast,105,652,155,57,,,
FR_Vil_14_07,S7,France,FR,Viltain,27-Oct-14,A,48.7543324,2.1584108,BananaandYeast,105,652,110,58,0.158,0.339,-0.082
FR_Got_14_08,S8,France,FR,Gotheron,8-Jul-14,S,44.976813,4.930005,BananaandYeast,122,831,215,44,0.141,0.279,-0.066
UK_She_14_09,S9,UK,UK,Sheffield,25-Aug-14,S,53.39052,-1.520599,pineapple,86,927,149,78,0.194,0.111,0.875
UK_Sou_14_10,S10,UK,UK,SouthQueensferry,14-Jul-14,S,55.972871,-3.351475,BananaandYeast,81,809,143,66,0.154,0.059,-0.011
CY_Nic_14_11,S11,Cyprus,CY,Nicosia,10-Aug-14,S,35.066461,33.322646,grapesbananasfigs,179,402,270,2,0.117,-0.322,0.107
UK_Mar_14_12,S12,UK,UK,MarketHarborough,20-Oct-14,A,52.475769,-0.921517,grape,94,637,100,53,0.141,0.113,0.018
UK_Lut_14_13,S13,UK,UK,Lutterworth,20-Oct-14,A,52.433592,-1.102667,grape,93,648,99,54,0.144,0.104,0.023
DE_Bro_14_14,S14,Germany,DE,Broggingen,26-Jun-14,S,48.218024,7.819513,cherry,104,713,174,90,0.121,0.027,-0.051
